"radio_name","radio_url","radio_city","radio_country","radio_tags","mp3_bitrate","mp3_url","aac_bitrate","aac_url"
"Antenne Bayern Die Jungen Wilden","http://www.antenne.de/","Munich","Germany","New Top 40",128,"http://www.antenne.de/webradio/channels/die-jungen-wilden.m3u",64,"http://mp3channels.webradio.antenne.de/die-jungen-wilden.aac.m3u"
"Antenne Bayern Hits für Kids","http://www.antenne.de/","Munich","Germany","Children's pop",128,"http://www.antenne.de/webradio/channels/hits-fuer-kids.m3u",64,"http://mp3channels.webradio.antenne.de/hits-fuer-kids.aac.m3u"
"Antenne Bayern Kino Hits","http://www.antenne.de/","Munich","Germany","Film music",128,"http://www.antenne.de/webradio/channels/kino-hits.m3u",64,"http://mp3channels.webradio.antenne.de/kino-hits.aac.m3u"
"Antenne Bayern Lovesongs","http://www.antenne.de/","Munich","Germany","Love songs",128,"http://www.antenne.de/webradio/channels/lovesongs.m3u",64,"http://mp3channels.webradio.antenne.de/lovesongs.aac.m3u"
"Antenne Bayern Oldies but Goldies","http://www.antenne.de/","Munich","Germany","Oldies",128,"http://www.antenne.de/webradio/channels/oldies-but-goldies.m3u",64,"http://mp3channels.webradio.antenne.de/oldies-but-goldies.aac.m3u"
"Antenne Bayern Partyschlager","http://www.antenne.de/","Munich","Germany","Schlager/Party music",128,"http://www.antenne.de/webradio/channels/das-schlager-karussell.m3u",64,"http://mp3channels.webradio.antenne.das-schlager-karussell.aac.m3u"
"Antenne Bayern Top 40","http://www.antenne.de/","Munich","Germany","Top 40",,,,
"Antenne Kaiserslautern","http://www.antenne-kl.de/","Kaiserslautern","Germany","Adult Contemporary",,,64,"http://stream.telvi.de:8000/antenne_kl.m3u"
"Antenne Koblenz","http://www.akoblenz.de/","Koblenz","Germany","Top 40",,,64,"http://stream.telvi.de:8000/antenne_koblenz.m3u"
"Antenne Landau","http://www.antenne-landau.de/","Landau","Germany","Adult Contemporary",,,64,"http://stream.telvi.de:8000/antenne_landau.m3u"
"Antenne Münster","http://www.antennemuenster.de/","Münster","Germany","Hot Adult Contemporary",128,"http://stream.antennemuenster.de:8000/am128k.m3u",,
"Antenne MV","http://www.antennemv.de/","Plate","Germany","Hot Adult Contemporary",192,"http://stream.hoerradar.de/antennemv-mp3.m3u",,
"Antenne Pfalz","http://www.antenne-pfalz.de/","Neustadt","Germany","Adult Contemporary",,,64,"http://stream.telvi.de:8000/antenne_pfalz.m3u"
"Antenne Salzburg","http://www.dieantenne.at/","Salzburg","Austria","Adult Contemporary",64,"http://streamplus14.leonex.de:24946/listen.pls",,
"Antenne Steiermark","http://www.antenne.net/","Graz","Austria","Adult Contemporary",128,"http://www.antenne.at/antenne.pls",,
"Antenne Sylt","http://www.antenne-sylt.de/","Sylt","Germany","Local service",92,"http://87.230.91.7:443/listen.pls",,
"Antenne Thüringen","http://www.antennethueringen.de/","Weimar","Germany","Hot Adult Contemporary",192,"http://stream.hoerradar.de/mp3-antenne-thueringen-192.m3u",,
"Antenne Tirol","http://www.antennetirol.at/","Innsbruck","Austria","Adult Contemporary",128,"http://streamplus12.ameus.de:14840/listen.pls",,
"Antenne Unna","http://www.antenneunna.de/","Unna","Germany","Hot Adult Contemporary",128,"http://dd11422.kasserver.com:8010/listen.pls",,
"Antenne Vorarlberg","http://www.antenne.vol.at/","Schwarzach","Austria","Adult Contemporary",128,"http://194.208.21.29:8060/listen.pls",,
"Antenne Vorarlberg Digital 80er","http://www.antenne.vol.at/","Schwarzach","Austria","80s",128,"http://194.208.21.29:8020/listen.pls",,
